@W: MO111 :"e:\grade-3_2\isp_project\lab13\lab13.v":6:11:6:15|Tristate driver ledEN on net ledEN has its enable tied to GND (module lab13) 
@W: BN132 :"e:\grade-3_2\isp_project\lab13\lcd1602.v":56:4:56:9|Removing instance lcd.dataInBuf[47],  because it is equivalent to instance lcd.dataInBuf[40]
@W: BN132 :"e:\grade-3_2\isp_project\lab13\lcd1602.v":56:4:56:9|Removing instance lcd.dataInBuf[44],  because it is equivalent to instance lcd.dataInBuf[40]
@W: BN132 :"e:\grade-3_2\isp_project\lab13\lcd1602.v":56:4:56:9|Removing instance lcd.dataInBuf[43],  because it is equivalent to instance lcd.dataInBuf[40]
@W: BN132 :"e:\grade-3_2\isp_project\lab13\lcd1602.v":56:4:56:9|Removing instance lcd.dataInBuf[46],  because it is equivalent to instance lcd.dataInBuf[42]
@W: BN132 :"e:\grade-3_2\isp_project\lab13\lcd1602.v":56:4:56:9|Removing instance lcd.dataInBuf[5],  because it is equivalent to instance lcd.dataInBuf[33]
@W: BN132 :"e:\grade-3_2\isp_project\lab13\lcd1602.v":56:4:56:9|Removing instance lcd.dataInBuf[42],  because it is equivalent to instance lcd.dataInBuf[13]
@W: BN132 :"e:\grade-3_2\isp_project\lab13\lcd1602.v":56:4:56:9|Removing instance lcd.dataInBuf[55],  because it is equivalent to instance lcd.dataInBuf[52]
@W: BN132 :"e:\grade-3_2\isp_project\lab13\lcd1602.v":56:4:56:9|Removing instance lcd.dataInBuf[52],  because it is equivalent to instance lcd.dataInBuf[51]
@W: BN132 :"e:\grade-3_2\isp_project\lab13\lcd1602.v":56:4:56:9|Removing instance lcd.dataInBuf[63],  because it is equivalent to instance lcd.dataInBuf[60]
@W: BN132 :"e:\grade-3_2\isp_project\lab13\lcd1602.v":56:4:56:9|Removing instance lcd.dataInBuf[60],  because it is equivalent to instance lcd.dataInBuf[59]
@W: BN132 :"e:\grade-3_2\isp_project\lab13\lcd1602.v":56:4:56:9|Removing instance lcd.dataInBuf[54],  because it is equivalent to instance lcd.dataInBuf[21]
@W: BN132 :"e:\grade-3_2\isp_project\lab13\lcd1602.v":56:4:56:9|Removing instance lcd.dataInBuf[50],  because it is equivalent to instance lcd.dataInBuf[21]
@W: BN132 :"e:\grade-3_2\isp_project\lab13\lcd1602.v":56:4:56:9|Removing instance lcd.dataInBuf[68],  because it is equivalent to instance lcd.dataInBuf[67]
@W: BN132 :"e:\grade-3_2\isp_project\lab13\lcd1602.v":56:4:56:9|Removing instance lcd.dataInBuf[71],  because it is equivalent to instance lcd.dataInBuf[67]
@W: BN132 :"e:\grade-3_2\isp_project\lab13\lcd1602.v":56:4:56:9|Removing instance lcd.dataInBuf[62],  because it is equivalent to instance lcd.dataInBuf[29]
@W: BN132 :"e:\grade-3_2\isp_project\lab13\lcd1602.v":56:4:56:9|Removing instance lcd.dataInBuf[79],  because it is equivalent to instance lcd.dataInBuf[76]
@W: BN132 :"e:\grade-3_2\isp_project\lab13\lcd1602.v":56:4:56:9|Removing instance lcd.dataInBuf[76],  because it is equivalent to instance lcd.dataInBuf[75]
@W: BN132 :"e:\grade-3_2\isp_project\lab13\lcd1602.v":56:4:56:9|Removing instance lcd.dataInBuf[84],  because it is equivalent to instance lcd.dataInBuf[83]
@W: BN132 :"e:\grade-3_2\isp_project\lab13\lcd1602.v":56:4:56:9|Removing instance lcd.dataInBuf[92],  because it is equivalent to instance lcd.dataInBuf[91]
@W: BN132 :"e:\grade-3_2\isp_project\lab13\lcd1602.v":56:4:56:9|Removing instance lcd.dataInBuf[99],  because it is equivalent to instance lcd.dataInBuf[100]
@W: BN132 :"e:\grade-3_2\isp_project\lab13\lcd1602.v":56:4:56:9|Removing instance lcd.dataInBuf[108],  because it is equivalent to instance lcd.dataInBuf[107]
@W: BN132 :"e:\grade-3_2\isp_project\lab13\lcd1602.v":56:4:56:9|Removing instance lcd.dataInBuf[116],  because it is equivalent to instance lcd.dataInBuf[115]
@W: BN132 :"e:\grade-3_2\isp_project\lab13\lcd1602.v":56:4:56:9|Removing instance lcd.dataInBuf[124],  because it is equivalent to instance lcd.dataInBuf[123]
@W: BN132 :"e:\grade-3_2\isp_project\lab13\lcd1602.v":56:4:56:9|Removing instance lcd.dataInBuf[132],  because it is equivalent to instance lcd.dataInBuf[131]
@W: BN132 :"e:\grade-3_2\isp_project\lab13\lcd1602.v":56:4:56:9|Removing instance lcd.dataInBuf[140],  because it is equivalent to instance lcd.dataInBuf[139]
@W: BN132 :"e:\grade-3_2\isp_project\lab13\lcd1602.v":56:4:56:9|Removing instance lcd.dataInBuf[148],  because it is equivalent to instance lcd.dataInBuf[147]
@W: BN132 :"e:\grade-3_2\isp_project\lab13\lcd1602.v":56:4:56:9|Removing instance lcd.dataInBuf[156],  because it is equivalent to instance lcd.dataInBuf[155]
